             r          p1s           p2s           p2p           p3s           p6p 
   0.88247E+00   0.58251E-02  -0.91328E+00   0.84960E+00  -0.11203E-01   0.52176E-02
   0.89737E+00   0.52312E-02  -0.89283E+00   0.83392E+00   0.12760E-02   0.42171E-02
   0.92057E+00   0.44415E-02  -0.86109E+00   0.80957E+00   0.20761E-01   0.26484E-02
   0.94679E+00   0.37136E-02  -0.82556E+00   0.78227E+00   0.42772E-01   0.86468E-03
   0.97000E+00   0.31860E-02  -0.79449E+00   0.75834E+00   0.62217E-01  -0.72279E-03
   0.98489E+00   0.28953E-02  -0.77480E+00   0.74312E+00   0.74654E-01  -0.17447E-02
   0.99278E+00   0.27548E-02  -0.76446E+00   0.73513E+00   0.81215E-01  -0.22859E-02
   0.10095E+01   0.24830E-02  -0.74270E+00   0.71824E+00   0.95119E-01  -0.34382E-02
   0.10356E+01   0.21234E-02  -0.70943E+00   0.69232E+00   0.11662E+00  -0.52350E-02
   0.10651E+01   0.17932E-02  -0.67287E+00   0.66363E+00   0.14061E+00  -0.72640E-02
   0.10912E+01   0.15541E-02  -0.64145E+00   0.63881E+00   0.16156E+00  -0.90581E-02
   0.11080E+01   0.14222E-02  -0.62179E+00   0.62317E+00   0.17485E+00  -0.10208E-01
   0.11169E+01   0.13583E-02  -0.61155E+00   0.61499E+00   0.18182E+00  -0.10815E-01
   0.11357E+01   0.12346E-02  -0.59015E+00   0.59784E+00   0.19651E+00  -0.12103E-01
   0.11651E+01   0.10698E-02  -0.55786E+00   0.57175E+00   0.21902E+00  -0.14103E-01
   0.11983E+01   0.91701E-03  -0.52294E+00   0.54324E+00   0.24384E+00  -0.16347E-01
   0.12277E+01   0.80491E-03  -0.49342E+00   0.51885E+00   0.26525E+00  -0.18320E-01
   0.12465E+01   0.74233E-03  -0.47516E+00   0.50363E+00   0.27871E+00  -0.19578E-01
   0.12565E+01   0.71179E-03  -0.46571E+00   0.49572E+00   0.28573E+00  -0.20241E-01
   0.12777E+01   0.65214E-03  -0.44612E+00   0.47920E+00   0.30045E+00  -0.21645E-01
   0.13107E+01   0.57153E-03  -0.41692E+00   0.45432E+00   0.32276E+00  -0.23812E-01
   0.13481E+01   0.49519E-03  -0.38585E+00   0.42746E+00   0.34705E+00  -0.26230E-01
   0.13811E+01   0.43801E-03  -0.35997E+00   0.40476E+00   0.36772E+00  -0.28344E-01
   0.14023E+01   0.40558E-03  -0.34415E+00   0.39071E+00   0.38057E+00  -0.29686E-01
   0.14135E+01   0.38961E-03  -0.33602E+00   0.38345E+00   0.38723E+00  -0.30391E-01
   0.14374E+01   0.35812E-03  -0.31929E+00   0.36838E+00   0.40110E+00  -0.31880E-01
   0.14746E+01   0.31490E-03  -0.29467E+00   0.34590E+00   0.42187E+00  -0.34169E-01
   0.15166E+01   0.27324E-03  -0.26888E+00   0.32193E+00   0.44410E+00  -0.36707E-01
   0.15537E+01   0.24155E-03  -0.24775E+00   0.30192E+00   0.46270E+00  -0.38912E-01
   0.15776E+01   0.22340E-03  -0.23498E+00   0.28966E+00   0.47410E+00  -0.40306E-01
   0.15902E+01   0.21442E-03  -0.22847E+00   0.28335E+00   0.47997E+00  -0.41036E-01
   0.16171E+01   0.19661E-03  -0.21516E+00   0.27034E+00   0.49205E+00  -0.42574E-01
   0.16589E+01   0.17201E-03  -0.19583E+00   0.25113E+00   0.50985E+00  -0.44925E-01
   0.17061E+01   0.14816E-03  -0.17593E+00   0.23093E+00   0.52844E+00  -0.47516E-01
   0.17480E+01   0.12996E-03  -0.15989E+00   0.21428E+00   0.54361E+00  -0.49752E-01
   0.17748E+01   0.11953E-03  -0.15032E+00   0.20418E+00   0.55272E+00  -0.51159E-01
   0.17890E+01   0.11437E-03  -0.14548E+00   0.19901E+00   0.55734E+00  -0.51893E-01
   0.18192E+01   0.10414E-03  -0.13566E+00   0.18843E+00   0.56672E+00  -0.53435E-01
   0.18663E+01   0.90051E-04  -0.12160E+00   0.17297E+00   0.58014E+00  -0.55778E-01
   0.19194E+01   0.76450E-04  -0.10738E+00   0.15693E+00   0.59361E+00  -0.58340E-01
   0.19665E+01   0.66142E-04  -0.96123E-01   0.14391E+00   0.60409E+00  -0.60533E-01
   0.19967E+01   0.60267E-04  -0.89499E-01   0.13609E+00   0.61012E+00  -0.61904E-01
   0.20126E+01   0.57372E-04  -0.86174E-01   0.13212E+00   0.61310E+00  -0.62617E-01
   0.20466E+01   0.51662E-04  -0.79493E-01   0.12403E+00   0.61896E+00  -0.64107E-01
   0.20996E+01   0.43857E-04  -0.70066E-01   0.11237E+00   0.62682E+00  -0.66356E-01
   0.21593E+01   0.36409E-04  -0.60717E-01   0.10045E+00   0.63392E+00  -0.68790E-01
   0.22123E+01   0.30833E-04  -0.53457E-01   0.90922E-01   0.63873E+00  -0.70851E-01
   0.22462E+01   0.27687E-04  -0.49250E-01   0.85268E-01   0.64111E+00  -0.72128E-01
   0.22642E+01   0.26146E-04  -0.47157E-01   0.82416E-01   0.64216E+00  -0.72789E-01
   0.23024E+01   0.23127E-04  -0.42990E-01   0.76653E-01   0.64391E+00  -0.74162E-01
   0.23620E+01   0.19049E-04  -0.37207E-01   0.68445E-01   0.64540E+00  -0.76210E-01
   0.24292E+01   0.15220E-04  -0.31592E-01   0.60200E-01   0.64539E+00  -0.78392E-01
   0.24888E+01   0.12400E-04  -0.27324E-01   0.53714E-01   0.64399E+00  -0.80209E-01
   0.25270E+01   0.10830E-04  -0.24890E-01   0.49916E-01   0.64244E+00  -0.81319E-01
   0.25472E+01   0.10068E-04  -0.23691E-01   0.48014E-01   0.64143E+00  -0.81889E-01
   0.25903E+01   0.85872E-05  -0.21329E-01   0.44203E-01   0.63886E+00  -0.83058E-01
   0.26572E+01   0.66188E-05  -0.18109E-01   0.38851E-01   0.63376E+00  -0.84771E-01
   0.27329E+01   0.48105E-05  -0.15053E-01   0.33573E-01   0.62656E+00  -0.86543E-01
   0.27999E+01   0.35097E-05  -0.12783E-01   0.29494E-01   0.61902E+00  -0.87972E-01
   0.28429E+01   0.27994E-05  -0.11512E-01   0.27139E-01   0.61367E+00  -0.88819E-01
   0.28657E+01   0.24585E-05  -0.10892E-01   0.25970E-01   0.61069E+00  -0.89246E-01
   0.29140E+01   0.18055E-05  -0.96842E-02   0.23647E-01   0.60402E+00  -0.90102E-01
   0.29894E+01   0.95847E-06  -0.80692E-02   0.20435E-01   0.59282E+00  -0.91301E-01
